;cpuFamily;cpuModel;ramSize;ramType;gpuModel;hdd1Type;hdd1Size;hdd2Type;hdd2Size;price;vfm;mark;TDP
56;Core i5;7200U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;636,99;7,163377761032355;4563;15
57;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;647,87;12,314198836186272;7978;15
58;Core i5;8265U;8 GB;DDR4;GeForce MX110;SSD;512 GB;-;-;649,0;12,29275808936826;7978;15
59;Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;256 GB;-;-;649,99;12,274034985153618;7978;15
60;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;650,0;13,698461538461538;8904;15
61;Core i5;8265U;8 GB;DDR4;GeForce MX230;SSD;512 GB;-;-;658,17;12,1214883692663;7978;15
62;Core i5;1035G1;8 GB;DDR4;GeForce MX230;SSD;1000 GB;-;-;659,0;13,64339908952959;8991;15
63;Core i5;8265U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;664,0;12,015060240963855;7978;15
64;Core i7;7500U;8 GB;DDR4;GeForce MX110;SSD;256 GB;-;-;668,0;7,6706586826347305;5124;15
65;Core i5;7200U;8 GB;DDR4;HD Graphics 620;SSD;256 GB;-;-;676,2;6,748003549245785;4563;15
66;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;677,99;11,7671352084839;7978;15
67;Core i5;7200U;8 GB;DDR4;HD Graphics 620;SSD;512 GB;-;-;678,0;6,730088495575221;4563;15
68;Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;256 GB;HDD;1000 GB;679,0;11,74963181148748;7978;15
69;Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;256 GB;-;-;679,01;11,749458770857572;7978;15
70;Core i7;8565U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;685,0;12,998540145985402;8904;15
71;Core i7;8550U;8 GB;DDR4;Radeon 530;SSD;256 GB;-;-;685,0;12,037956204379562;8246;15
72;Core i5;1035G1;8 GB;DDR4;UHD Graphics;SSD;256 GB;-;-;685,89;13,10851594278966;8991;15
73;Core i5;8265U;8 GB;DDR4;Radeon 520;SSD;512 GB;-;-;688,95;11,579940489150156;7978;15
74;Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;689,0;13,737300435413642;9465;45
75;Core i5;8265U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;689,0;11,57910014513788;7978;15
76;Core i5;10210U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;694,0;13,119596541786743;9105;15
77;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;694,9;11,480788602676645;7978;15
78;Core i7;8550U;8 GB;DDR4;GeForce MX110;SSD;256 GB;-;-;697,0;11,830703012912481;8246;15
79;Core i5;8250U;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;697,0;10,977044476327116;7651;15
80;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;HDD;1000 GB;698,0;12,756446991404012;8904;15
81;Core i7;8565U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;698,99;12,738379662083863;8904;15
82;Core i7;7500U;8 GB;DDR4;HD Graphics 620;SSD;256 GB;-;-;699,0;7,330472103004292;5124;15
83;Core i5;1035G1;12 GB;DDR4;UHD Graphics;SSD;512 GB;-;-;699,0;12,86266094420601;8991;15
84;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;699,0;11,413447782546495;7978;15
85;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;699,0;10,945636623748213;7651;15
86;Core i5;8265U;8 GB;DDR4;HD Graphics 620;SSD;256 GB;-;-;699,9;11,398771253036148;7978;15
88;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;701,0;10,914407988587731;7651;15
89;Core i5;8265U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;702,72;11,353028233151184;7978;15
90;Core i7;8565U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;709,0;12,558533145275035;8904;15
91;Core i7;8550U;8 GB;DDR4;GeForce MX150;SSD;128 GB;HDD;1000 GB;709,0;11,63046544428773;8246;15
92;Core i5;9300H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;719,0;13,57162726008345;9758;45
93;Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;256 GB;-;-;719,99;11,080709454297976;7978;15
94;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;725,0;11,004137931034483;7978;15
95;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;726,9;10,975374879625809;7978;15
96;Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;512 GB;-;-;728,0;13,001373626373626;9465;45
97;Core i5;10210U;8 GB;DDR4;GeForce MX110;SSD;512 GB;-;-;729,0;12,489711934156379;9105;15
99;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;729,0;12,213991769547325;8904;15
100;Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;256 GB;-;-;729,99;10,928916834477185;7978;15
101;Core i7;7500U;8 GB;DDR4;Radeon 530;SSD;256 GB;-;-;730,48;7,014565764976454;5124;15
102;Core i5;8265U;8 GB;DDR4;GeForce MX110;SSD;256 GB;-;-;739,0;10,795669824086604;7978;15
103;Core i7;7500U;8 GB;DDR4;Radeon 530;SSD;256 GB;-;-;739,0;6,933694181326117;5124;15
104;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;739,0;10,3531799729364;7651;15
105;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;740,57;10,77278312651066;7978;15
106;Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;256 GB;-;-;741,73;10,755935448208916;7978;15
