;cpuFamily;cpuModel;ramSize;ramType;gpuModel;hdd1Type;hdd1Size;hdd2Type;hdd2Size;price;vfm;mark;TDP
239;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;879,99;9,06601211377402;7978;15
240;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;879,99;9,06601211377402;7978;15
241;Core i7;8750H;8 GB;DDR4;GeForce GTX 1050;SSD;512 GB;-;-;882,0;14,060090702947846;12401;45
242;Core i5;8250U;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;886,0;8,635440180586908;7651;15
243;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;886,69;8,997507584386877;7978;15
244;Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;888,0;9,286036036036036;8246;15
245;Core i7;8565U;8 GB;DDR4;GeForce MX130;SSD;128 GB;HDD;1000 GB;889,0;10,015748031496063;8904;15
246;Core i5;10210U;8 GB;DDR4;UHD Graphics;SSD;256 GB;-;-;889,0;10,241844769403825;9105;15
247;Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;889,0;9,275590551181102;8246;15
248;Core i5;9300H;8 GB;DDR4;GeForce GTX 1650;SSD;256 GB;-;-;889,0;10,976377952755906;9758;45
249;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;889,0;8,974128233970754;7978;15
250;Core i7;8550U;8 GB;DDR4;Radeon 530;SSD;512 GB;-;-;889,9;9,266209686481627;8246;15
251;Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;512 GB;-;-;889,99;10,634950954505106;9465;45
252;Core i5;8300H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;256 GB;-;-;889,99;10,634950954505106;9465;45
253;Core i5;8250U;8 GB;DDR4;GeForce MX150;SSD;256 GB;-;-;890,0;8,596629213483146;7651;15
254;Core i5;8265U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;892,95;8,934430819194803;7978;15
255;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;893,15;8,932430162906567;7978;15
256;Core i7;1065G7;16 GB;DDR4;GeForce MX230;SSD;512 GB;-;-;894,0;12,039149888143177;10763;15
257;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;895,7;8,907000111644523;7978;15
258;Core i5;8300H;8 GB;DDR4;GeForce GTX 1060;SSD;256 GB;-;-;896,0;10,563616071428571;9465;45
260;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;897,0;9,926421404682275;8904;15
261;Core i7;8550U;12 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;898,0;9,182628062360802;8246;15
262;Core i5;8250U;8 GB;DDR4;GeForce MX150;SSD;256 GB;-;-;898,9;8,51151407275559;7651;15
263;Core i7;8565U;16 GB;DDR4;GeForce MX250;SSD;128 GB;HDD;1000 GB;899,0;9,904338153503893;8904;15
264;Core i5;8265U;8 GB;DDR4;Radeon 520;SSD;128 GB;HDD;1000 GB;899,0;8,874304783092326;7978;15
265;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;899,0;9,904338153503893;8904;15
266;Core i7;8550U;8 GB;DDR4;Radeon 535;SSD;256 GB;-;-;899,0;9,172413793103448;8246;15
267;Core i7;10510U;16 GB;DDR4;GeForce MX130;SSD;512 GB;-;-;899,0;10,60511679644049;9534;15
268;Core i5;9300H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;256 GB;-;-;899,0;10,85428253615128;9758;45
269;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;128 GB;-;-;899,0;8,874304783092326;7978;15
270;Core i5;1035G1;8 GB;DDR4;GeForce MX230;SSD;512 GB;-;-;899,0;10,001112347052281;8991;15
271;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;899,0;9,904338153503893;8904;15
272;Core i5;10210U;8 GB;DDR4;-;SSD;256 GB;-;-;899,0;10,127919911012237;9105;15
274;Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;899,0;10,528364849833148;9465;45
275;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;899,0;8,510567296996664;7651;15
276;Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;899,0;10,528364849833148;9465;45
277;Core i5;7200U;8 GB;DDR4;HD Graphics 620;SSD;256 GB;-;-;899,0;5,075639599555061;4563;15
278;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;899,9;8,865429492165797;7978;15
279;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;899,9;8,502055783975997;7651;15
280;Core i7;8565U;8 GB;DDR4;GeForce MX250;SSD;512 GB;-;-;905,37;9,834653235693695;8904;15
281;Core i5;8365U;16 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;907,85;9,250426832626536;8398;15
282;Core i7;8565U;8 GB;DDR4;GeForce MX250;SSD;256 GB;HDD;1000 GB;908,0;9,806167400881057;8904;15
283;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;909,0;8,416941694169417;7651;15
284;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;909,0;9,795379537953796;8904;15
285;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;910,0;8,767032967032968;7978;15
286;Core i7;8550U;8 GB;DDR4;GeForce MX150;SSD;256 GB;-;-;913,0;9,031763417305585;8246;15
287;Core i7;8550U;16 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;915,0;9,012021857923497;8246;15
288;Core i5;10210U;8 GB;DDR4;UHD Graphics;SSD;512 GB;-;-;916,0;9,93995633187773;9105;15
289;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;128 GB;HDD;1000 GB;918,0;8,690631808278868;7978;15
290;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;923,48;8,639060943388055;7978;15
291;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;926,95;8,606720966610927;7978;15
292;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;928,0;8,244612068965518;7651;15
293;Core i7;9750H;8 GB;DDR4;GeForce GTX 1650;SSD;512 GB;-;-;928,0;14,524784482758621;13479;45
294;Core i7;8750H;8 GB;DDR4;GeForce GTX 1060;SSD;128 GB;HDD;1000 GB;929,0;13,348762109795478;12401;45
295;Core i5;8300H;16 GB;DDR4;GeForce GTX 1050 Ti;SSD;128 GB;HDD;1000 GB;929,0;10,18837459634015;9465;45
296;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;929,0;8,58772874058127;7978;15
297;Core i7;10510U;8 GB;DDR4;Radeon 530;SSD;512 GB;-;-;929,0;10,26264800861141;9534;15
298;Core i5;8300H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;128 GB;HDD;1000 GB;929,0;10,18837459634015;9465;45
299;Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;929,0;8,876210979547901;8246;15
300;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;929,0;8,23573735199139;7651;15
301;Core i5;8265U;8 GB;DDR4;GeForce MX150;SSD;256 GB;-;-;929,0;8,58772874058127;7978;15
302;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;128 GB;-;-;929,9;8,227766426497473;7651;15
303;Core i5;8265U;16 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;929,99;8,578586866525447;7978;15
304;Core i5;8265U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;929,99;8,578586866525447;7978;15
305;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;930,0;8,578494623655914;7978;15
306;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;934,0;8,541755888650963;7978;15
307;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;934,6;8,186389899422213;7651;15
308;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;934,95;9,523503930691481;8904;15
309;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;938,0;9,492537313432836;8904;15
310;Core i5;10210U;8 GB;DDR4;UHD Graphics;SSD;512 GB;-;-;938,77;9,69886127592488;9105;15
311;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;939,0;9,482428115015974;8904;15
312;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;939,0;9,482428115015974;8904;15
313;Core i5;8250U;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;939,0;8,148029818956337;7651;15
314;Core i5;7200U;8 GB;DDR4;HD Graphics 620;SSD;256 GB;-;-;939,99;4,854306960712348;4563;15
315;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;942,0;8,12208067940552;7651;15
316;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;944,0;8,451271186440678;7978;15
317;Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;947,0;9,994720168954593;9465;45
318;Core i5;1035G1;8 GB;DDR4;GeForce MX230;SSD;256 GB;-;-;948,88;9,475381502402833;8991;15
320;Core i7;8750H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;256 GB;-;-;949,0;13,067439409905163;12401;45
321;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;949,0;9,38250790305585;8904;15
323;Core i5;8300H;8 GB;DDR4;GeForce GTX 1060;SSD;128 GB;HDD;1000 GB;949,0;9,973656480505795;9465;45
324;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;949,0;8,062170706006322;7651;15
326;Core i7;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;949,0;9,973656480505795;9465;45
327;Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;949,0;8,689146469968387;8246;15
329;Core i5;8250U;8 GB;DDR4;Radeon 530;SSD;256 GB;-;-;955,0;8,01151832460733;7651;15
330;Core i7;8565U;16 GB;DDR4;GeForce MX250;SSD;512 GB;-;-;956,87;9,305339283288221;8904;15
331;Core i7;8750H;8 GB;DDR4;GTX 1050 Ti;SSD;256 GB;HDD;1000 GB;956,87;12,959963213393669;12401;45
332;Core i7;8550U;8 GB;DDR4;Radeon 530;SSD;256 GB;-;-;956,99;8,616599964471938;8246;15
333;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;961,0;7,9614984391259105;7651;15
334;Core i5;8265U;12 GB;DDR4;UHD Graphics 620;SSD;256 GB;HDD;1000 GB;962,0;8,293139293139292;7978;15
336;Core i7;9750H;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;969,0;13,910216718266254;13479;45
337;Core i5;8265U;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;969,0;8,233230134158926;7978;15
338;Core i7;10510U;8 GB;DDR4;Radeon 535;SSD;256 GB;-;-;969,0;9,839009287925697;9534;15
339;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;969,0;7,8957688338493295;7651;15
341;Core i5;6200U;8 GB;DDR4;HD Graphics 520;SSD;256 GB;-;-;971,0;4,1297631307929965;4010;15
342;Core i7;1065G7;8 GB;DDR4;GeForce MX230;SSD;512 GB;-;-;971,95;11,073614897885694;10763;15
343;Core i7;8550U;8 GB;DDR4;Radeon 530;SSD;256 GB;-;-;972,0;8,483539094650206;8246;15
344;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;972,99;8,199467620427754;7978;15
345;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;974,0;9,141683778234086;8904;15
346;Core i5;10210U;8 GB;DDR4;UHD Graphics;SSD;256 GB;-;-;976,98;9,319535712092366;9105;15
347;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;977,02;8,165646557900555;7978;15
348;Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;512 GB;-;-;977,47;8,161887321350015;7978;15
349;Core i7;8565U;16 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;978,0;9,104294478527608;8904;15
350;Core i7;8550U;16 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;979,0;8,42288049029622;8246;15
351;Core i5;10210U;8 GB;DDR4;GeForce MX230;SSD;128 GB;HDD;1000 GB;979,0;9,300306435137896;9105;15
352;Core i5;8300H;8 GB;DDR4;GeForce GTX 1060;SSD;128 GB;HDD;1000 GB;983,0;9,628687690742625;9465;45
353;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;SSD;256 GB;986,9;9,022190698145709;8904;15
354;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;987,0;9,02127659574468;8904;15
357;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;989,0;9,003033367037412;8904;15
358;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;989,0;7,736097067745197;7651;15
360;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;990,0;8,05858585858586;7978;15
361;Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;990,0;8,32929292929293;8246;15
362;Core i7;8750H;16 GB;DDR4;GeForce GTX 1050 Ti;SSD;256 GB;-;-;994,0;12,475855130784709;12401;45
363;Core i7;8565U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;994,0;8,95774647887324;8904;15
364;Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;995,0;8,287437185929647;8246;15
365;Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;128 GB;HDD;1000 GB;997,0;8,270812437311935;8246;15
366;Core i7;8750H;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;997,01;12,438190188664105;12401;45
367;Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;512 GB;-;-;997,01;8,001925758016469;7978;15
368;Core i7;8550U;8 GB;DDR4;GeForce 940MX;SSD;256 GB;-;-;997,01;8,270729481148635;8246;15
369;Core i7;8565U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;997,7;8,924526410744713;8904;15
370;Core i5;8265U;8 GB;DDR4;Radeon RX550;SSD;256 GB;HDD;1000 GB;998,88;7,9869453788242835;7978;15
371;Core i7;9750H;16 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;999,0;13,492492492492492;13479;45
372;Core i7;8565U;8 GB;DDR4;Radeon 520;SSD;128 GB;HDD;1000 GB;999,0;8,912912912912914;8904;15
373;Core i5;8250U;8 GB;DDR4;GeForce MX150;SSD;256 GB;-;-;999,0;7,658658658658658;7651;15
375;Core i5;9300H;8 GB;DDR4;GeForce GTX 1650;SSD;128 GB;HDD;1000 GB;999,0;9,767767767767769;9758;45
376;Core i7;9750H;8 GB;DDR4;GeForce GTX 1650;SSD;256 GB;-;-;999,0;13,492492492492492;13479;45
377;Core i5;7200U;8 GB;DDR4;GeForce 940MX;SSD;256 GB;-;-;999,0;4,5675675675675675;4563;15
378;Core i5;10210U;8 GB;DDR4;UHD Graphics;SSD;256 GB;-;-;999,0;9,114114114114114;9105;15
379;Core i7;1065G7;16 GB;DDR4;GeForce MX230;SSD;512 GB;-;-;999,0;10,773773773773774;10763;15
380;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;999,0;7,985985985985986;7978;15
381;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;999,0;8,912912912912914;8904;15
382;Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;999,0;9,474474474474475;9465;45
383;Core i5;8250U;8 GB;DDR4;GeForce 930MX;SSD;256 GB;-;-;999,0;7,658658658658658;7651;15
384;Core i5;9300H;8 GB;DDR4;GeForce GTX 1650;SSD;512 GB;-;-;999,0;9,767767767767769;9758;45
385;Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;999,0;8,254254254254255;8246;15
386;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;999,0;7,658658658658658;7651;15
387;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;999,0;8,912912912912914;8904;15
389;Core i7;9750H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;999,01;13,492357433859521;13479;45
390;Core i7;8565U;16 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;999,01;8,912823695458505;8904;15
391;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;999,01;8,912823695458505;8904;15
392;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;999,77;7,652760134831011;7651;15
394;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;256 GB;1000,0;7,978;7978;15
395;Core i5;8365U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1001,0;8,38961038961039;8398;15
396;Core i5;8365U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1005,0;8,356218905472637;8398;15
397;Core i7;8565U;8 GB;DDR4;GeForce MX250;SSD;256 GB;HDD;1000 GB;1008,37;8,830092128881263;8904;15
398;Core i7;8750H;16 GB;DDR4;GeForce GTX 1050 Ti;SSD;512 GB;-;-;1009,0;12,290386521308227;12401;45
399;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1010,0;7,575247524752475;7651;15
400;Core i5;8250U;8 GB;DDR4;Radeon 530;SSD;128 GB;HDD;1000 GB;1011,0;7,567754698318496;7651;15
401;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1018,9;7,830012758857592;7978;15
402;Core i5;8300H;8 GB;DDR4;GeForce GTX 1060;SSD;256 GB;-;-;1019,0;9,288518155053975;9465;45
403;Core i7;8565U;12 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1019,0;8,737978410206084;8904;15
404;Core i5;8250U;8 GB;DDR4;Radeon RX 550;SSD;256 GB;-;-;1019,0;7,5083415112855745;7651;15
405;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1020,0;8,729411764705882;8904;15
406;Core i5;8265U;8 GB;DDR4;GeForce MX130;SSD;128 GB;HDD;1000 GB;1024,0;7,791015625;7978;15
407;Core i5;8265U;8 GB;DDR4;Radeon RX 550;SSD;256 GB;HDD;1000 GB;1024,76;7,785237519028846;7978;15
408;Core i5;8250U;8 GB;DDR4;Radeon 530;SSD;256 GB;-;-;1025,0;7,464390243902439;7651;15
409;Core i5;10210U;8 GB;DDR4;UHD Graphics;SSD;512 GB;-;-;1025,0;8,882926829268293;9105;15
410;Core i5;8250U;8 GB;DDR4;Radeon RX 550;SSD;256 GB;HDD;1000 GB;1025,99;7,457187691887835;7651;15
411;Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1027,0;8,029211295034079;8246;15
412;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;1000 GB;-;-;1027,9;7,761455394493627;7978;15
413;Core i7;9750H;8 GB;DDR4;GeForce GTX 1650;SSD;512 GB;-;-;1029,0;13,099125364431487;13479;45
414;Core i5;8300H;8 GB;DDR4;GeForce GTX 1060;SSD;128 GB;HDD;1000 GB;1029,0;9,198250728862973;9465;45
416;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1029,99;7,4282274585190144;7651;15
417;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1035,0;7,392270531400966;7651;15
418;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1036,0;7,385135135135135;7651;15
419;Core i7;8550U;8 GB;DDR4;GeForce 930MX;SSD;256 GB;-;-;1039,0;7,936477382098171;8246;15
420;Core i7;8750H;8 GB;DDR4;GTX 1050 Ti;SSD;256 GB;-;-;1039,0;11,935514918190568;12401;45
421;Core i7;8565U;16 GB;DDR4;GeForce MX250;SSD;128 GB;HDD;1000 GB;1044,0;8,528735632183908;8904;15
422;Core i5;8265U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;1048,0;7,612595419847328;7978;15
423;Core i5;9300H;16 GB;DDR4;GeForce GTX 1650;SSD;512 GB;-;-;1049,0;9,302192564346997;9758;45
424;Core i7;9750H;8 GB;DDR4;GeForce GTX 1650;SSD;128 GB;HDD;1000 GB;1049,0;12,84938036224976;13479;45
425;Core i5;10210U;8 GB;DDR4;UHD Graphics;SSD;256 GB;-;-;1049,0;8,679694947569114;9105;15
426;Core i5;9300H;8 GB;DDR4;GeForce GTX 1650;SSD;256 GB;-;-;1049,0;9,302192564346997;9758;45
427;Core i5;8300H;16 GB;DDR4;GeForce GTX 1050 Ti;SSD;256 GB;-;-;1049,0;9,022878932316491;9465;45
429;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1049,0;8,488083889418494;8904;15
430;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;1049,0;7,605338417540515;7978;15
432;Core i7;8750H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;1049,99;11,810588672273068;12401;45
433;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;1051,69;7,585885574646521;7978;15
434;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1052,0;8,463878326996198;8904;15
435;Core i7;8565U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;1052,0;8,463878326996198;8904;15
436;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1052,0;7,583650190114068;7978;15
437;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1052,99;7,576520194873646;7978;15
438;Core i7;8565U;16 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;1057,99;8,415958562935378;8904;15
439;Core i7;10510U;8 GB;DDR4;GeForce MX250;SSD;512 GB;-;-;1058,0;9,011342155009451;9534;15
440;Core i7;10510U;8 GB;DDR4;GeForce MX250;SSD;512 GB;-;-;1058,0;9,011342155009451;9534;15
442;Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;1059,0;8,937677053824363;9465;45
443;Core i5;9300H;8 GB;DDR4;GeForce GTX 1650;SSD;512 GB;-;-;1059,99;9,205747224030416;9758;45
444;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1060,15;7,525350186294392;7978;15
445;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1062,7;7,507292744895079;7978;15
447;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1063,99;7,498190772469666;7978;15
448;Core i7;1065G7;16 GB;DDR4;GeForce MX230;SSD;512 GB;-;-;1068,0;10,077715355805243;10763;15
449;Core i7;9750H;8 GB;DDR4;GeForce GTX 1650;SSD;512 GB;-;-;1069,0;12,608980355472404;13479;45
450;Core i5;10210U;8 GB;DDR4;GeForce MX 230;SSD;512 GB;-;-;1069,0;8,517305893358278;9105;15
451;Core i5;8265U;8 GB;DDR4;UHD Graphics 630;SSD;256 GB;-;-;1069,0;7,463049579045837;7978;15
452;Core i5;8300H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;128 GB;HDD;1000 GB;1071,0;8,837535014005603;9465;45
453;Core i5;9400H;8 GB;DDR4;UHD Graphics 630;SSD;256 GB;-;-;1074,0;10,647113594040968;11435;45
454;Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;16 GB;HDD;1000 GB;1074,99;8,804733067284348;9465;45
455;Core i7;8565U;8 GB;DDR4;Radeon RX 550;SSD;256 GB;-;-;1075,99;8,275169843585907;8904;15
456;Core i7;10510U;8 GB;DDR4;GeForce MX250;SSD;512 GB;-;-;1076,0;8,860594795539033;9534;15
457;Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1077,0;7,656453110492108;8246;15
458;Core i7;8750H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;128 GB;HDD;1000 GB;1079,0;11,493049119555144;12401;45
459;Core i7;8565U;8 GB;DDR4;GeForce MX250;SSD;256 GB;HDD;2000 GB;1079,0;8,252085264133457;8904;15
460;Core i7;8750H;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;1079,0;11,493049119555144;12401;45
461;Core i5;9300H;8 GB;DDR4;GeForce GTX 1650;SSD;256 GB;HDD;1000 GB;1079,23;9,041631533593396;9758;45
462;Core i7;8565U;8 GB;DDR4;Radeon RX 550X;SSD;256 GB;SSD;256 GB;1079,99;8,244520782599839;8904;15
463;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1080,0;7,08425925925926;7651;15
464;Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1081,28;7,626146788990826;8246;15
465;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1085,0;7,051612903225807;7651;15
466;Core i7;8750H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;128 GB;HDD;1000 GB;1089,0;11,387511478420569;12401;45
468;Core i5;8300H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;256 GB;-;-;1089,0;8,69146005509642;9465;45
469;Core i7;10510U;8 GB;DDR4;GeForce MX250;SSD;256 GB;-;-;1089,0;8,754820936639119;9534;15
470;Core i7;8565U;16 GB;DDR4;GeForce MX130;SSD;256 GB;HDD;1000 GB;1093,0;8,146386093321134;8904;15
471;Core i7;8750H;8 GB;DDR4;GeForce GTX 1050;SSD;16 GB;HDD;1000 GB;1093,0;11,34583714547118;12401;45
472;Core i7;8550U;8 GB;DDR4;Radeon 530;SSD;256 GB;-;-;1096,0;7,523722627737226;8246;15
473;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1096,0;6,980839416058394;7651;15
474;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1096,0;6,980839416058394;7651;15
475;Core i7;9750H;8 GB;DDR4;GeForce GTX 1650;SSD;512 GB;-;-;1097,0;12,28714676390155;13479;45
476;Core i7;8750H;8 GB;DDR4;GeForce GTX 1060;SSD;512 GB;-;-;1097,0;11,304466727438468;12401;45
477;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1098,0;6,968123861566484;7651;15
478;Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;512 GB;-;-;1099,0;7,2593266606005455;7978;15
479;Core i7;8750H;12 GB;DDR4;GeForce GTX 1050 Ti;SSD;128 GB;HDD;1000 GB;1099,0;11,283894449499545;12401;45
480;Core i7;10510U;8 GB;DDR4;UHD Graphics;SSD;256 GB;-;-;1099,0;8,67515923566879;9534;15
481;Core i7;8750H;16 GB;DDR4;GeForce GTX 1050;SSD;512 GB;-;-;1099,0;11,283894449499545;12401;45
