CPU Name,Price(USD),CPU Mark,CPU Value,Thread Mark,Thread Value,TDP (W),Power Perf.,Socket,Category
AMD A6-3420M APU,0,2004,0,592,0,35,57,FS1,Laptop
AMD A6-3430MX APU,0,2200,0,644,0,45,48,FS1,Laptop
AMD A6-3500 APU,39.99,2029,50.76,753,18.84,65,31,FM1,Desktop
AMD A6-3600 APU,22.99,2707,117.76,757,32.95,65,41,FM1,Desktop
AMD A6-3620 APU,59.99,2793,46.57,788,13.14,65,42,FM1,Desktop
AMD A6-3650 APU,31.99,3148,98.41,901,28.18,100,31,FM1,Desktop
AMD A6-3670 APU,610.0,3166,5.19,930,1.53,100,31,FM1,Desktop
AMD A6-4400M APU,7.99,1642,205.54,991,124.07,35,46,FS1r2,Laptop
AMD A6-4455M APU,0,1286,0,761,0,17,75,FP2,Laptop
AMD A6-5200 APU,0,2435,0,778,0,25,97,FT3,Laptop
AMD A6-5345M APU,0,1476,0,862,0,17,86,FP2,Laptop
AMD A6-5350M APU,43.1,1906,44.2,1143,26.52,35,54,FS1r2,Laptop
AMD A6-5357M APU,0,1953,0,1132,0,35,55,FP2,Laptop
AMD A6-5400B APU,105.04,2250,21.43,1334,12.71,65,34,FM2,Desktop
AMD A6-5400K APU,62.0,2161,34.85,1310,21.13,65,33,FM2,Desktop
AMD A6-6310 APU,0,2465,0,843,0,15,164,FT3,Laptop
AMD A6-6400B APU,0,2281,0,1386,0,65,35,FM2,Desktop
AMD A6-6400K APU,82.1,2313,28.15,1405,17.1,65,35,FM2,Desktop
AMD A6-6420B APU,0,2612,0,1579,0,65,40,FM2,Desktop
AMD A6-6420K APU,149.99,2388,15.92,1469,9.8,65,36,FM2,Desktop
AMD A6-7000 ,0,1667,0,910,0,17,98,FP3,Laptop
AMD A6-7310 APU,0,2672,0,902,0,25,106,NA,Laptop
AMD A6-7400K APU,67.4,2783,41.25,1581,23.44,65,42,FM2+,Desktop
AMD A6-7470K,132.9,2727,20.52,1656,12.46,65,41,FM2+,Desktop
AMD A6-7480,43.99,3135,71.28,1793,40.77,65,48,FM2+,Desktop
AMD A6-8500P,0,2202,0,1315,0,15,146,BGA (FP4),Laptop
AMD A6-8550,0,3032,0,1691,0,65,46,FM2+,Desktop
