CPU Name,Price(USD),CPU Mark,CPU Value,Thread Mark,Thread Value,TDP (W),Power Perf.,Socket,Category
AMD Ryzen 7 3700X,327.9,23864,72.76,2909,8.87,65,367,AM4,Desktop
AMD Ryzen 7 3750H,0,8964,0,1951,0,35,256,FP5,Laptop
AMD Ryzen 7 3780U,0,9238,0,2034,0,15,615,FP5,Laptop
AMD Ryzen 7 3800X,369.9,24574,66.42,2981,8.06,105,234,AM4,Desktop
AMD Ryzen 7 PRO 1700,0,14112,0,1838,0,65,217,AM4,Desktop
AMD Ryzen 7 PRO 1700X,0,15324,0,1984,0,95,161,AM4,Desktop
AMD Ryzen 7 PRO 2700,0,15406,0,2052,0,65,237,AM4,Desktop
AMD Ryzen 7 PRO 2700U,0,8888,0,1867,0,15,592,FP5,Laptop
AMD Ryzen 7 PRO 2700X,0,17161,0,2143,0,105,163,AM4,Desktop
AMD Ryzen 7 PRO 3700,0,25748,0,3044,0,65,396,AM4,Desktop
AMD Ryzen 7 PRO 3700U,0,8647,0,1936,0,15,576,FP5,Laptop
AMD Ryzen 9 3900,0,30679,0,3019,0,65,471,AM4,Desktop
AMD Ryzen 9 3900X,529.0,31869,60.24,2923,5.53,105,303,AM4,Desktop
AMD Ryzen 9 PRO 3900,0,33303,0,3013,0,65,512,AM4,Desktop
AMD Ryzen Embedded R1505G,0,4555,0,1654,0,15,303,FP5,Laptop
AMD Ryzen Embedded V1202B,0,4447,0,1509,0,15,296,FP5,Laptop
AMD Ryzen Embedded V1605B,0,7087,0,1756,0,15,472,FP5,Laptop
AMD Ryzen Embedded V1756B,0,8559,0,1895,0,45,190,FP5,Desktop
AMD Ryzen Embedded V1807B,0,8528,0,1806,0,45,189,FP5,Laptop
AMD Ryzen Threadripper 1900X,159.9,16089,100.56,2063,12.9,180,89,sTR4,Desktop
AMD Ryzen Threadripper 1920X,209.9,20012,95.3,2024,9.64,180,111,sTR4,Desktop
AMD Ryzen Threadripper 1950X,489.99,21935,44.77,1987,4.06,180,121,sTR4,Desktop
AMD Ryzen Threadripper 2920X,349.9,22126,63.22,2211,6.32,180,122,sTR4,Desktop
AMD Ryzen Threadripper 2950X,679.9,25387,37.33,2209,3.25,180,141,sTR4,Desktop
AMD Ryzen Threadripper 2970WX,914.9,21886,23.92,2037,2.23,250,87,sTR4,Desktop
AMD Ryzen Threadripper 2990WX,0,23167,13.4,2073,1.2,250,92,sTR4,Desktop
AMD Ryzen Threadripper 2990X,0,19227,0,2098,0,250,76,TR4,Desktop
AMD Sempron 130,24.99,700,28.03,751,30.07,45,15,AM2+/AM3,Unknown
AMD Sempron 140,39.59,739,18.67,838,21.18,45,16,AM3,Desktop
AMD Sempron 145,94.9,807,8.51,887,9.34,45,17,AM3,Desktop
AMD Sempron 150,44.95,747,16.64,857,19.09,45,16,AM3,Desktop
AMD Sempron 200U,87.0,267,3.08,0,0,8,33,NA,Unknown
AMD Sempron 2100+,0,392,0,0,0,8,49,NA,Unknown
AMD Sempron 210U,0,391,0,452,0,15,26,NA,Unknown
AMD Sempron 2200+,29.99,282,9.42,429,14.32,0,0,Socket A,Desktop
AMD Sempron 2300+,45.0,318,7.07,483,10.73,0,0,Socket A,Desktop
AMD Sempron 240,58.0,2110,36.39,1226,21.15,65,32,FM2,Desktop
AMD Sempron 2400+,26.0,314,12.1,493,19.0,0,0,Socket A,Desktop
AMD Sempron 2500+,54.95,335,6.11,462,8.41,0,0,Socket A,Desktop
AMD Sempron 2600+,34.9,374,10.71,471,13.5,0,0,Socket A,Desktop
AMD Sempron 2650 APU,64.9,951,14.65,534,8.24,25,38,"AM1,FSB1",Desktop
AMD Sempron 2800+,59.9,383,6.4,486,8.12,62,6,AM2,Desktop
AMD Sempron 3000+,20.0,408,20.41,513,25.66,62,6,AM2,Desktop
AMD Sempron 3100+,60.0,452,7.53,539,9.0,62,7,754,Desktop
AMD Sempron 3200+,131.22,406,3.1,487,3.72,62,6,AM2,Desktop
AMD Sempron 3300+,60.0,484,8.07,605,10.09,62,7,754,Desktop
AMD Sempron 3400+,29.8,454,15.21,521,17.46,62,7,AM2,Desktop
AMD Sempron 3500+,20.0,379,18.98,480,24.02,62,6,AM2,Desktop
AMD Sempron 3600+,12.0,483,40.3,560,46.72,62,7,AM2,Desktop
AMD Sempron 3800+,152.92,554,3.62,649,4.25,62,8,AM2,Desktop
AMD Sempron 3850 APU,84.2,1715,20.37,512,6.09,25,68,"AM1,FS1b",Desktop
AMD Sempron Dual Core 2100,39.0,936,24.02,557,14.29,65,14,NA,Unknown
AMD Sempron Dual Core 2200,0,995,0,578,0,65,15,NA,Unknown
AMD Sempron Dual Core 2300,41.99,982,23.39,621,14.81,65,15,NA,Unknown
AMD Sempron Dual Core 4700,0,948,0,0,0,0,0,NA,Unknown
AMD Sempron Dual Core 4900,0,1081,0,0,0,0,0,NA,Unknown
AMD Sempron LE-1100,0,438,0,524,0,45,9,AM2,Desktop
AMD Sempron LE-1150,0,444,0,551,0,45,9,AM2,Desktop
AMD Sempron LE-1200,0,527,0,610,0,45,11,AM2,Desktop
AMD Sempron LE-1250,99.95,543,5.44,601,6.02,45,12,AM2,Desktop
AMD Sempron LE-1300,21.0,595,28.37,615,29.31,45,13,AM2,Desktop
AMD Sempron LE-1600,0,535,0,0,0,0,0,NA,Unknown
AMD Sempron LE-1620,0,635,0,0,0,0,0,NA,Unknown
AMD Sempron LE-1640,0,759,0,0,0,45,16,AM2,Unknown
AMD Sempron LE-250,0,490,0,0,0,0,0,NA,Unknown
AMD Sempron M100,12.0,566,47.17,615,51.28,0,0,NA,Unknown
AMD Sempron M120,0,582,0,629,0,25,23,S1,Laptop
AMD Sempron SI-40,12.0,447,37.27,537,44.79,25,17,S1,Laptop
AMD Sempron SI-42,30.01,456,15.22,530,17.68,25,18,S1,Laptop
AMD Sempron X2 180,69.4,1391,20.05,766,11.05,45,30,NA,Unknown
AMD Sempron X2 190,83.44,1534,18.39,867,10.4,45,34,AM2+/AM3,Unknown
AMD Sempron X2 198 Dual-Core,0,1413,0,851,0,65,21,FM1,Desktop
AMD Turion 64 Mobile MK-36,0,465,0,542,0,31,15,S1,Laptop
AMD Turion 64 Mobile MK-38,0,513,0,614,0,31,16,S1,Laptop
AMD Turion 64 Mobile ML-28,0,390,0,482,0,25,15,754,Laptop
AMD Turion 64 Mobile ML-30,0,402,0,484,0,35,11,754,Laptop
AMD Turion 64 Mobile ML-32,0,402,0,496,0,35,11,754,Laptop
AMD Turion 64 Mobile ML-34,0,425,0,505,0,35,12,754,Laptop
AMD Turion 64 Mobile ML-37,196.5,446,2.27,549,2.8,35,12,754,Laptop
AMD Turion 64 Mobile ML-40,0,522,0,647,0,35,14,754,Laptop
AMD Turion 64 Mobile ML-42,0,615,0,699,0,35,17,754,Laptop
AMD Turion 64 Mobile ML-44,0,591,0,721,0,35,16,754,Laptop
AMD Turion 64 Mobile MT-28,0,419,0,0,0,25,16,754,Laptop
AMD Turion 64 Mobile MT-30,0,378,0,451,0,25,15,754,Laptop
AMD Turion 64 Mobile MT-32,0,426,0,533,0,24,17,754,Laptop
AMD Turion 64 Mobile MT-34,0,429,0,504,0,24,17,754,Laptop
AMD Turion 64 Mobile MT-37,0,484,0,583,0,25,19,754,Laptop
AMD Turion 64 Mobile MT-40,0,536,0,0,0,25,21,754,Laptop
AMD Turion 64 X2 Mobile TL-50,49.99,747,14.95,464,9.3,31,24,S1,Laptop
AMD Turion 64 X2 Mobile TL-52,0,763,0,470,0,31,24,S1,Laptop
AMD Turion 64 X2 Mobile TL-56,13.95,891,63.89,536,38.45,31,28,S1,Laptop
AMD Turion 64 X2 Mobile TL-58,0,947,0,560,0,31,30,S1,Laptop
AMD Turion 64 X2 Mobile TL-60,15.95,997,62.53,590,37.0,31,32,S1,Laptop
AMD Turion 64 X2 Mobile TL-62,311.0,1092,3.51,624,2.01,35,31,S1,Laptop
AMD Turion 64 X2 Mobile TL-64,39.39,1090,27.69,641,16.29,35,31,S1,Laptop
AMD Turion 64 X2 Mobile TL-66,378.0,1141,3.02,674,1.78,35,32,S1,Laptop
AMD Turion 64 X2 Mobile TL-68,90.0,1162,12.92,691,7.68,35,33,S1,Laptop
AMD Turion Dual-Core RM-70,25.0,912,36.49,551,22.05,31,29,S1,Laptop
AMD Turion Dual-Core RM-72,39.99,860,21.52,497,12.44,35,24,S1,Laptop
AMD Turion Dual-Core RM-74,0,1016,0,542,0,35,29,S1,Laptop
AMD Turion Dual-Core RM-75,27.46,1003,36.53,519,18.91,35,28,S1,Laptop
AMD Turion II Dual-Core Mobile M500,0,1293,0,742,0,35,36,S1,Laptop
AMD Turion II Dual-Core Mobile M520,69.1,1306,18.91,739,10.7,35,37,S1,Laptop
AMD Turion II Dual-Core Mobile M540,0,1338,0,807,0,35,38,S1,Laptop
AMD Turion II N530 Dual-Core,30.0,1567,52.24,858,28.6,35,44,S1,Laptop
AMD Turion II N550 Dual-Core,0,1521,0,781,0,35,43,S1,Laptop
AMD Turion II Neo K625 Dual-Core,0,977,0,509,0,15,65,S1,Laptop
AMD Turion II Neo K685 Dual-Core,0,1186,0,639,0,15,79,BGA812,Laptop
AMD Turion II Neo N40L Dual-Core,0,930,0,501,0,15,62,BGA812,Laptop
AMD Turion II Neo N54L Dual-Core,0,1364,0,717,0,25,54,BGA812,Laptop
AMD Turion II P520 Dual-Core,0,1360,0,762,0,25,54,S1,Laptop
AMD Turion II P540 Dual-Core,49.95,1432,28.67,769,15.4,35,40,S1,Laptop
AMD Turion II P560 Dual-Core,0,1515,0,824,0,25,60,S1,Laptop
AMD Turion II Ultra Dual-Core Mobile M600,26.76,1406,52.55,792,29.62,35,40,S1,Laptop
AMD Turion II Ultra Dual-Core Mobile M620,0,1435,0,807,0,35,41,S1,Laptop
AMD Turion II Ultra Dual-Core Mobile M640,0,1670,0,915,0,35,47,S1,Laptop
AMD Turion II Ultra Dual-Core Mobile M660,0,1533,0,898,0,35,43,S1,Laptop
AMD Turion Neo X2 Dual Core L625,0,813,0,466,0,18,45,ASB1,Laptop
AMD Turion X2 Dual Core L510,0,923,0,510,0,20,46,ASB1,Laptop
AMD Turion X2 Dual Core Mobile RM-70,132.56,858,6.48,459,3.47,31,27,S1,Laptop
AMD Turion X2 Dual Core Mobile RM-76,0,1059,0,580,0,35,30,S1,Laptop
AMD Turion X2 Dual-Core Mobile RM-70,0,994,0,553,0,31,32,S1,Laptop
AMD Turion X2 Dual-Core Mobile RM-72,224.26,1085,4.84,597,2.67,35,31,S1,Laptop
AMD Turion X2 Dual-Core Mobile RM-74,24.47,1059,43.31,580,23.72,35,30,S1,Laptop
AMD Turion X2 Dual-Core Mobile RM-75,0,1120,0,601,0,35,32,S1,Laptop
AMD Turion X2 Dual-Core Mobile RM-77,0,1149,0,657,0,35,32,S1,Laptop
AMD Turion X2 Ultra Dual-Core Mobile ZM-80,62.0,1023,16.51,566,9.13,32,31,S1,Laptop
AMD Turion X2 Ultra Dual-Core Mobile ZM-82,0,1084,0,588,0,35,30,S1,Laptop
AMD Turion X2 Ultra Dual-Core Mobile ZM-84,18.99,1209,63.72,636,33.53,35,34,S1,Laptop
AMD Turion X2 Ultra Dual-Core Mobile ZM-85,45.0,1234,27.43,665,14.79,35,35,S1,Laptop
AMD Turion X2 Ultra Dual-Core Mobile ZM-86,55.0,1295,23.56,635,11.56,35,37,S1,Laptop
AMD Turion X2 Ultra Dual-Core Mobile ZM-87,39.95,1205,30.18,665,16.66,35,34,S1,Laptop
AMD TurionX2 Dual Core Mobile RM-70,0,997,0,573,0,31,32,S1,Laptop
AMD TurionX2 Dual Core Mobile RM-72,0,1026,0,559,0,35,29,S1,Laptop
AMD TurionX2 Ultra DualCore Mobile ZM-85,0,1454,0,624,0,35,41,S1,Laptop
AMD V105,0,299,0,355,0,9,33,BGA812,Laptop
AMD V120,0,623,0,663,0,25,24,S1,Laptop
AMD V140,49.95,643,12.89,698,13.98,25,25,S1,Laptop
AMD V160,0,677,0,730,0,25,27,S1,Laptop
AMD Z-01,0,523,0,244,0,0,0,NA,Unknown
AMD Z-60 APU,0,500,0,273,0,0,111,FT1,Laptop
AMD-K6 3D,0,90,0,0,0,0,0,NA,Unknown
AMD-K6-III,0,108,0,0,0,0,0,NA,Unknown
AMD-K7,0,403,0,0,0,0,0,NA,Unknown
Athlon 64 Dual Core 3800+,0,1234,0,570,0,35,35,NA,Unknown
Athlon 64 Dual Core 4200+,204.95,1156,5.64,0,0,89,12,NA,Unknown
Athlon 64 Dual Core 4800+,0,1370,0,0,0,110,12,AM2,Desktop
Athlon 64 Dual Core 5000+,0,1507,0,802,0,89,16,NA,Desktop
Athlon 64 Dual Core 5400+,0,1614,0,0,0,89,18,NA,Unknown
Athlon 64 Dual Core 5600+,0,1548,0,886,0,65,23,AM2,Desktop
Athlon Dual Core 4050e,0,968,0,633,0,45,21,AM2,Desktop
Athlon Dual Core 4450e,0,1204,0,706,0,45,26,AM2,Desktop
Athlon Dual Core 4850e,0,1346,0,765,0,45,29,AM2,Desktop
Celeron Dual-Core Q8300 @ 2.50GHz,0,2837,0,0,0,95,29,NA,Desktop
Celeron Dual-Core T3000 @ 1.80GHz,0,1086,0,728,0,35,31,PGA478,Laptop
Celeron Dual-Core T3100 @ 1.90GHz,42.0,1172,27.91,765,18.23,35,33,BGA479,Laptop
Celeron Dual-Core T3300 @ 2.00GHz,0,1201,0,792,0,35,34,μFCPGA-478,Laptop
Celeron Dual-Core T3500 @ 2.10GHz,0,1274,0,842,0,35,36,PGA478,Laptop
Dual-Core AMD Opteron 1220 SE,0,1206,0,748,0,103,11,AM2,Server
HP Hexa-Core 2.0GHz,504.27,2178,4.32,776,1.54,0,0,NA,Unknown
Intel 1300 @ 1.66GHz,0,857,0,0,0,0,0,NA,Unknown
Intel 1400 @ 1.83GHz,0,980,0,0,0,0,0,NA,Unknown
Intel 1500 @ 2.00GHz,0,1024,0,0,0,0,0,NA,Unknown
Intel 2.80GHz,0,525,0,701,0,0,0,NA,Unknown
Intel Atom 230 @ 1.60GHz,0,307,0,242,0,4,76,BGA437,Desktop
Intel Atom 330 @ 1.60GHz,0,587,0,252,0,8,73,BGA437,Desktop
Intel Atom C2338 @ 1.74GHz,0,898,0,359,0,7,128,FCBGA1283,Laptop
Intel Atom C2358 @ 1.74GHz,0,961,0,448,0,7,137,FCBGA1283,Laptop
Intel Atom C2538 @ 2.40GHz,104.0,2085,20.05,557,5.36,15,139,FCBGA1283,Laptop
Intel Atom C2550 @ 2.40GHz,0,2261,0,598,0,14,161,FCBGA1283,Server
Intel Atom C2558 @ 2.40GHz,136.0,2169,15.95,550,4.05,15,144,BGA 1283,Laptop
Intel Atom C2750 @ 2.40GHz,232.0,3768,16.24,567,2.45,20,188,FCBGA1283,Server
Intel Atom C2750 @ 2.41GHz,0,3344,0,447,0,20,167,BGA 1283,Server
Intel Atom C2758 @ 2.40GHz,214.86,3162,14.72,512,2.39,20,158,BGA 1283,Laptop
Intel Atom C3538 @ 2.10GHz,75.0,2455,32.73,831,11.09,15,163,FCBGA1310,Server
Intel Atom C3558 @ 2.20GHz,86.0,2538,29.52,875,10.19,16,158,FCBGA1310,Server
Intel Atom C3858 @ 2.00GHz,332.0,4852,14.62,771,2.32,25,194,FCBGA1310,Server
Intel Atom C3958 @ 2.00GHz,449.0,6586,14.67,791,1.76,31,212,FCBGA1310,Server
Intel Atom D2500 @ 1.86GHz,0,403,0,293,0,10,40,BGA559,Desktop
Intel Atom D2550 @ 1.86GHz,0,680,0,303,0,10,68,BGA559,Desktop
Intel Atom D2560 @ 2.00GHz,0,711,0,325,0,10,71,NA,Desktop
Intel Atom D2700 @ 2.13GHz,0,839,0,353,0,10,83,BGA559,Desktop
Intel Atom D2701 @ 2.13GHz,0,720,0,342,0,10,72,BGA559,Laptop
Intel Atom D410 @ 1.66GHz,635.99,301,0.47,252,0.4,10,30,BGA559,Desktop
Intel Atom D425 @ 1.80GHz,992.98,345,0.35,277,0.28,10,34,BGA559,Desktop
Intel Atom D510 @ 1.66GHz,97.16,658,6.78,264,2.73,13,50,BGA559,Desktop
Intel Atom D525 @ 1.80GHz,0,706,0,285,0,13,54,BGA559,Desktop
Intel Atom E3815 @ 1.46GHz,209.9,331,1.58,289,1.38,5,66,FCBGA1170,Desktop
Intel Atom E3825 @ 1.33GHz,70.32,579,8.24,284,4.05,6,96,FCBGA1170,Desktop
Intel Atom E3826 @ 1.46GHz,0,489,0,312,0,7,69,FCBGA1170,Laptop
Intel Atom E3827 @ 1.74GHz,0,849,0,397,0,8,106,FCBGA1170,Laptop
Intel Atom E3840 @ 1.91GHz,0,1162,0,396,0,0,0,NA,Unknown
Intel Atom E3845 @ 1.91GHz,0,1504,0,413,0,10,150,FCBGA1170,Desktop
Intel Atom E3940 @ 1.60GHz,0,1867,0,657,0,0,196,NA,Laptop
Intel Atom E3950 @ 1.60GHz,0,1876,0,672,0,12,156,BGA1296,Laptop
Intel Atom E660 @ 1.30GHz,54.0,271,5.03,0,0,0,82,FCBGA676,Laptop
Intel Atom E680 @ 1.60GHz,0,346,0,0,0,0,76,BGA676,Desktop
Intel Atom K510 @ 1.66GHz,0,658,0,0,0,0,0,NA,Unknown
Intel Atom N2100 @ 1.60GHz,0,302,0,266,0,0,0,BGA559,Laptop
Intel Atom N2600 @ 1.60GHz,0,526,0,251,0,0,150,BGA559,Laptop
Intel Atom N270 @ 1.60GHz,0,270,0,238,0,0,108,BGA437,Laptop
Intel Atom N280 @ 1.66GHz,0,282,0,246,0,0,112,BGA437,Laptop
Intel Atom N2800 @ 1.86GHz,0,625,0,287,0,0,96,BGA559,Laptop
Intel Atom N435 @ 1.33GHz,0,261,0,207,0,0,0,NA,Unknown
Intel Atom N450 @ 1.66GHz,0,296,0,243,0,0,53,BGA559,Laptop
Intel Atom N455 @ 1.66GHz,0,283,0,240,0,0,43,BGA559,Laptop
Intel Atom N470 @ 1.83GHz,0,332,0,239,0,0,51,BGA559,Laptop
Intel Atom N475 @ 1.83GHz,0,314,0,280,0,0,48,BGA559,Laptop
Intel Atom N550 @ 1.50GHz,86.0,524,6.1,234,2.73,0,61,BGA559,Laptop
Intel Atom N570 @ 1.66GHz,86.0,574,6.68,258,3.01,0,67,BGA559,Laptop
Intel Atom S1260 @ 2.00GHz,64.0,916,14.32,344,5.39,0,107,FCBGA1283,Server
Intel Atom T5700 @ 1.70GHz,0,2039,0,844,0,0,0,NA,Laptop
Intel Atom x5-E3930 @ 1.30GHz,0,811,0,557,0,0,124,BGA1296,Laptop
Intel Atom x5-E8000 @ 1.04GHz,0,1600,0,464,0,5,320,FCBGA1170,Laptop
Intel Atom x5-Z8300 @ 1.44GHz,132.99,1192,8.97,389,2.93,4,298,UTFCBGA592,Laptop
Intel Atom x5-Z8330 @ 1.44GHz,0,1015,0,429,0,4,253,NA,Laptop
Intel Atom x5-Z8350 @ 1.44GHz,21.0,1273,60.66,417,19.86,4,318,UTFCBGA592,Laptop
Intel Atom x5-Z8500 @ 1.44GHz,62.57,1696,27.11,505,8.08,4,424,UTFCBGA1380,Laptop
Intel Atom x5-Z8550 @ 1.44GHz,0,1835,0,552,0,4,458,UTFCBGA1380,Laptop
Intel Atom x7-Z8700 @ 1.60GHz,73.63,1890,25.68,550,7.47,4,472,BGA1380,Laptop
Intel Atom x7-Z8750 @ 1.60GHz,0,1894,0,586,0,4,473,UTFCBGA1380,Laptop
Intel Atom Z2760 @ 1.80GHz,0,568,0,275,0,0,0,FC-MB4760,Laptop
Intel Atom Z3735D @ 1.33GHz,0,937,0,354,0,0,212,NA,Laptop
Intel Atom Z3735E @ 1.33GHz,117.0,948,8.1,361,3.09,0,215,UTFCBGA1380,Laptop
Intel Atom Z3735F @ 1.33GHz,181.3,914,5.04,354,1.95,0,207,UTFCBGA592,Laptop
Intel Atom Z3735G @ 1.33GHz,0,906,0,355,0,0,205,NA,Laptop
Intel Atom Z3736F @ 1.33GHz,0,912,0,383,0,0,207,UTFCBGA592,Laptop
Intel Atom Z3740 @ 1.33GHz,0,1068,0,373,0,4,267,UTFCBGA1380,Laptop
Intel Atom Z3740D @ 1.33GHz,0,1011,0,331,0,0,229,UTFCBGA1380,Laptop
Intel Atom Z3745 @ 1.33GHz,30.0,1079,35.98,388,12.94,4,269,UTFCBGA1380,Laptop
Intel Atom Z3745D @ 1.33GHz,0,1018,0,347,0,0,231,NA,Laptop
Intel Atom Z3770 @ 1.46GHz,149.44,1252,8.38,475,3.18,4,313,UTFCBGA1380,Laptop
Intel Atom Z3770D @ 1.49GHz,0,805,0,299,0,0,182,BGA1380,Laptop
Intel Atom Z3775 @ 1.46GHz,35.0,1275,36.44,489,13.99,4,318,UTFCBGA1380,Laptop
Intel Atom Z3775D @ 1.49GHz,0,1278,0,434,0,0,290,UTFCBGA1380,Laptop
Intel Atom Z3795 @ 1.60GHz,0,1804,0,519,0,4,451,UTFCBGA1380,Laptop
Intel Atom Z510 @ 1.10GHz,45.0,194,4.33,0,0,2,97,BGA441,Laptop
Intel Atom Z515 @ 1.20GHz,0,218,0,0,0,0,155,BGA441,Laptop
Intel Atom Z520 @ 1.33GHz,0,217,0,196,0,2,108,BGA441,Laptop
Intel Atom Z530 @ 1.60GHz,0,281,0,248,0,2,140,BGA441,Laptop
Intel Atom Z540 @ 1.86GHz,0,348,0,0,0,0,145,BGA441,Laptop
Intel Atom Z550 @ 2.00GHz,0,381,0,0,0,0,158,BGA441,Laptop
Intel Atom Z670 @ 1.50GHz,0,243,0,199,0,3,81,BGA518,Laptop
Intel Celeron 1.70GHz,0,130,0,383,0,0,0,NA,Unknown
Intel Celeron 1.80GHz,0,136,0,421,0,0,2,PPGA478,Desktop
Intel Celeron 1000M @ 1.80GHz,0,1675,0,937,0,35,47,FCPGA988,Laptop
Intel Celeron 1000MHz,0,213,0,267,0,0,0,NA,Unknown
Intel Celeron 1005M @ 1.90GHz,0,1808,0,993,0,35,51,FCPGA988,Laptop
Intel Celeron 1007U @ 1.50GHz,184.99,1390,7.52,763,4.13,17,81,FCBGA1023,Laptop
Intel Celeron 1017U @ 1.60GHz,0,1511,0,835,0,17,88,FCBGA1023,Laptop
Intel Celeron 1019Y @ 1.00GHz,0,946,0,520,0,10,94,FCBGA1023,Desktop
Intel Celeron 1020E @ 2.20GHz,0,2232,0,1209,0,35,63," 	FCBGA1023, FCP",Laptop
Intel Celeron 1037U @ 1.80GHz,0,1737,0,955,0,17,102,FCBGA1023,Laptop
Intel Celeron 1047UE @ 1.40GHz,0,1188,0,519,0,17,69,FCBGA1023,Desktop
Intel Celeron 1066MHz,0,259,0,0,0,0,0,NA,Unknown
Intel Celeron 1100MHz,0,174,0,280,0,0,0,NA,Unknown
Intel Celeron 1133MHz,0,282,0,0,0,0,0,NA,Unknown
Intel Celeron 1200MHz,0,244,0,326,0,0,0,NA,Unknown
Intel Celeron 1300MHz,0,288,0,0,0,0,0,NA,Unknown
Intel Celeron 1333MHz,0,290,0,0,0,0,0,NA,Unknown
Intel Celeron 1400MHz,0,302,0,0,0,0,0,NA,Unknown
Intel Celeron 2.00GHz,0,182,0,458,0,0,3,PPGA478,Desktop
Intel Celeron 2.10GHz,0,244,0,0,0,0,0,NA,Unknown
Intel Celeron 2.13GHz,0,208,0,472,0,0,0,NA,Unknown
Intel Celeron 2.20GHz,0,213,0,537,0,0,0,NA,Unknown
Intel Celeron 2.26GHz,0,223,0,517,0,0,0,NA,Unknown
Intel Celeron 2.30GHz,0,227,0,559,0,0,0,NA,Unknown
Intel Celeron 2.40GHz,0,217,0,541,0,0,0,NA,Unknown
Intel Celeron 2.50GHz,0,247,0,625,0,0,0,NA,Unknown
Intel Celeron 2.53GHz,0,245,0,559,0,0,0,NA,Unknown
Intel Celeron 2.60GHz,0,238,0,602,0,0,0,NA,Unknown
Intel Celeron 2.66GHz,0,249,0,575,0,0,0,NA,Unknown
Intel Celeron 2.70GHz,0,245,0,593,0,0,0,NA,Unknown
Intel Celeron 2.80GHz,0,254,0,600,0,0,3,PPGA478,Desktop
Intel Celeron 2.93GHz,0,283,0,631,0,0,0,NA,Unknown
Intel Celeron 2000E @ 2.20GHz,0,2365,0,1317,0,37,63,FCBGA1364,Laptop
Intel Celeron 2002E @ 1.50GHz,86.0,1605,18.67,894,10.41,25,64,FCBGA1364,Laptop
Intel Celeron 215 @ 1.33GHz,0,322,0,487,0,27,11,BGA479,Laptop
Intel Celeron 220 @ 1.20GHz,0,320,0,392,0,19,16,BGA479,Desktop
Intel Celeron 2950M @ 2.00GHz,0,1984,0,1152,0,37,53,FCPGA946,Laptop
Intel Celeron 2955U @ 1.40GHz,0,1413,0,777,0,15,94,FCBGA1168,Laptop
Intel Celeron 2957U @ 1.40GHz,0,1432,0,797,0,15,95,FCBGA1168,Laptop
Intel Celeron 2961Y @ 1.10GHz,0,1110,0,649,0,0,96,NA,Laptop
Intel Celeron 2970M @ 2.20GHz,0,2312,0,1289,0,37,62,FCPGA946,Laptop
Intel Celeron 2980U @ 1.60GHz,0,1593,0,932,0,15,106,FCBGA1168,Laptop
Intel Celeron 2981U @ 1.60GHz,0,1364,0,741,0,15,90,BGA1168,Laptop
Intel Celeron 3.06GHz,0,284,0,641,0,0,0,NA,Unknown
Intel Celeron 3.20GHz,0,288,0,658,0,0,0,NA,Unknown
Intel Celeron 3.33GHz,0,333,0,661,0,0,0,NA,Unknown
Intel Celeron 3205U @ 1.50GHz,287.04,1501,5.23,804,2.8,15,100,FCBGA1168,Laptop
Intel Celeron 3215U @ 1.70GHz,0,1647,0,916,0,15,109,FCBGA1168,Laptop
Intel Celeron 3755U @ 1.70GHz,0,1702,0,953,0,15,113,FCBGA1168,Laptop
Intel Celeron 3765U @ 1.90GHz,0,1948,0,1045,0,15,129,FCBGA1168,Laptop
Intel Celeron 3855U @ 1.60GHz,0,1687,0,882,0,15,112,FCBGA1356,Laptop
Intel Celeron 3865U @ 1.80GHz,0,1913,0,1018,0,15,127,BGA1356,Laptop
Intel Celeron 3867U @ 1.80GHz,107.0,1843,17.23,1020,9.54,15,122,FCBGA1356,Laptop
Intel Celeron 3955U @ 2.00GHz,0,1934,0,1043,0,15,128,FCBGA1356,Laptop
Intel Celeron 3965U @ 2.20GHz,107.0,2363,22.09,1261,11.79,15,157,FCBGA1356,Laptop
Intel Celeron 3965Y @ 1.50GHz,107.0,1607,15.03,763,7.13,6,267,FCBGA1515,Laptop
Intel Celeron 420 @ 1.60GHz,39.99,450,11.27,543,13.58,35,12,LGA775,Desktop
Intel Celeron 4205U @ 1.80GHz,107.0,1971,18.43,1045,9.77,15,131,FCBGA1528,Laptop
Intel Celeron 430 @ 1.80GHz,47.1,487,10.33,596,12.65,35,13,LGA775,Desktop
Intel Celeron 440 @ 2.00GHz,22.3,544,24.38,662,29.66,35,15,LGA775,Desktop
Intel Celeron 450 @ 2.20GHz,29.99,625,20.86,732,24.43,35,17,LGA775,Desktop
Intel Celeron 530 @ 1.73GHz,22.99,474,20.62,575,25.03,27,17,PGA478,Laptop
Intel Celeron 540 @ 1.86GHz,0,521,0,626,0,30,17,PGA478,Laptop
Intel Celeron 550 @ 2.00GHz,64.9,517,7.96,626,9.64,31,16,BGA479,Laptop
Intel Celeron 560 @ 2.13GHz,79.9,531,6.65,667,8.35,31,17,PGA478,Laptop
Intel Celeron 570 @ 2.26GHz,0,517,0,666,0,31,16,PGA478,Laptop
Intel Celeron 600MHz,0,147,0,0,0,0,0,NA,Unknown
Intel Celeron 723 @ 1.20GHz,0,390,0,467,0,10,39,BGA956,Laptop
Intel Celeron 743 @ 1.30GHz,0,421,0,484,0,10,42,BGA956,Laptop
Intel Celeron 807 @ 1.50GHz,0,751,0,695,0,17,44,BGA-1023,Laptop
