cpuFamily;cpuModel;ramSize;ramType;gpuModel;hdd1Type;hdd1Size;hdd2Type;hdd2Size;price
Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;256 GB;HDD;1000 GB;679.0
Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;256 GB;-;-;679.01
Core i7;8565U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;685.0
Core i7;8550U;8 GB;DDR4;Radeon 530;SSD;256 GB;-;-;685.0
Core i5;1035G1;8 GB;DDR4;UHD Graphics;SSD;256 GB;-;-;685.89
Core i5;8265U;8 GB;DDR4;Radeon 520;SSD;512 GB;-;-;688.95
Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;689.0
Core i5;8265U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;689.0
Core i5;10210U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;694.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;694.9
Core i7;8550U;8 GB;DDR4;GeForce MX110;SSD;256 GB;-;-;697.0
Core i5;8250U;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;697.0
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;HDD;1000 GB;698.0
Core i7;8565U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;698.99
Core i7;7500U;8 GB;DDR4;HD Graphics 620;SSD;256 GB;-;-;699.0
Core i5;1035G1;12 GB;DDR4;UHD Graphics;SSD;512 GB;-;-;699.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;699.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;699.0
Core i5;8265U;8 GB;DDR4;HD Graphics 620;SSD;256 GB;-;-;699.9
Core i5;8265U;8 GB;-;UHD Graphics 620;SSD;256 GB;-;-;699.99
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;701.0
Core i5;8265U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;702.72
Core i7;8565U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;709.0
Core i7;8550U;8 GB;DDR4;GeForce MX150;SSD;128 GB;HDD;1000 GB;709.0
Core i5;9300H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;719.0
Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;256 GB;-;-;719.99
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;725.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;726.9
Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;512 GB;-;-;728.0
Core i5;10210U;8 GB;DDR4;GeForce MX110;SSD;512 GB;-;-;729.0
Core i5;8250U;8 GB;-;UHD Graphics 620;SSD;256 GB;-;-;729.0
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;729.0
Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;256 GB;-;-;729.99
Core i7;7500U;8 GB;DDR4;Radeon 530;SSD;256 GB;-;-;730.48
Core i5;8265U;8 GB;DDR4;GeForce MX110;SSD;256 GB;-;-;739.0
Core i7;7500U;8 GB;DDR4;Radeon 530;SSD;256 GB;-;-;739.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;739.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;740.57
Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;256 GB;-;-;741.73
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;743.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;744.0
Core i7;8550U;8 GB;DDR4;Radeon 530;SSD;128 GB;HDD;1000 GB;745.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;747.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;128 GB;HDD;1000 GB;747.45
Core i5;1035G1;8 GB;DDR4;UHD Graphics;SSD;512 GB;-;-;747.99
Core i5;8250U;8 GB;DDR4;Radeon 530;SSD;256 GB;-;-;748.75
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;749.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;749.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;749.0
Core i5;8250U;8 GB;DDR4;HD Graphics 620;SSD;256 GB;-;-;749.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;749.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;128 GB;-;-;749.0
Core i7;7500U;8 GB;DDR3;HD Graphics 620;SSD;256 GB;-;-;749.9
Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;8 GB;SSD;-;749.99
Core i5;9300H;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;759.0
Core i5;1035G1;8 GB;DDR4;GeForce MX230;SSD;512 GB;-;-;761.0
Core i7;8565U;8 GB;DDR4;GeForce MX250;SSD;256 GB;HDD;1000 GB;769.0
Core i7;7500U;8 GB;DDR4;HD Graphics 620;SSD;256 GB;-;-;769.0
Core i5;9300H;8 GB;DDR4;GeForce GTX 1050;SSD;512 GB;-;-;769.0
Core i5;8250U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;772.0
Core i5;8265U;16 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;773.07
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;775.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;777.0
Core i5;9300H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;777.0
Core i7;10510U;8 GB;DDR4;UHD Graphics;SSD;256 GB;-;-;777.0
Core i5;9300H;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;777.9
Core i7;8550U;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;779.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;779.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;779.0
Core i5;8265U;8 GB;-;GeForce MX250;SSD;256 GB;-;-;779.99
Core i5;9300H;8 GB;DDR4;GeForce GTX 1650;SSD;512 GB;-;-;779.99
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;788.0
Core i7;8565U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;788.1
Core i5;8265U;8 GB;DDR4;GeForce MX130;SSD;16 GB;HDD;1000 GB;789.0
Core i5;8300H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;512 GB;-;-;789.99
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;794.95
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;795.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;795.9
Core i7;9750H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;798.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;798.9
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;798.99
Core i7;8565U;16 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;799.0
Core i5;9300H;8 GB;DDR4;GeForce GTX 1650;SSD;128 GB;HDD;1000 GB;799.0
Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;512 GB;-;-;799.0
Core i7;8565U;8 GB;DDR4;GeForce MX110;SSD;512 GB;-;-;799.0
Core i7;8550U;8 GB;DDR4;Radeon 540;SSD;128 GB;HDD;1000 GB;799.0
Core i7;8550U;8 GB;DDR4;GeForce MX150;SSD;128 GB;HDD;1000 GB;799.0
