cpuFamily;cpuModel;ramSize;ramType;gpuModel;hdd1Type;hdd1Size;hdd2Type;hdd2Size;price
Core i7;10510U;8 GB;DDR4;Radeon 530;SSD;512 GB;-;-;929.0
Core i5;8300H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;128 GB;HDD;1000 GB;929.0
Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;929.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;929.0
Core i5;8265U;8 GB;DDR4;GeForce MX150;SSD;256 GB;-;-;929.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;128 GB;-;-;929.9
Core i5;8265U;16 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;929.99
Core i5;8265U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;929.99
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;930.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;934.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;934.6
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;934.95
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;938.0
Core i5;10210U;8 GB;DDR4;UHD Graphics;SSD;512 GB;-;-;938.77
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;939.0
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;939.0
Core i5;8250U;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;939.0
Core i5;7200U;8 GB;DDR4;HD Graphics 620;SSD;256 GB;-;-;939.99
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;942.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;944.0
Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;947.0
Core i5;1035G1;8 GB;DDR4;GeForce MX230;SSD;256 GB;-;-;948.88
Core i5;7200U;8 GB;DDR3;HD Graphics 620;SSD;256 GB;-;-;949.0
Core i7;8750H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;256 GB;-;-;949.0
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;949.0
Core i5;7200U;8 GB;DDR3;HD Graphics 620;SSD;256 GB;-;-;949.0
Core i5;8300H;8 GB;DDR4;GeForce GTX 1060;SSD;128 GB;HDD;1000 GB;949.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;949.0
Core i5;8265U;8 GB;DDR3;UHD Graphics 620;SSD;256 GB;-;-;949.0
Core i7;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;949.0
Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;949.0
Core i5;8265U;8 GB;DDR3;UHD Graphics 620;SSD;256 GB;-;-;949.99
Core i5;8250U;8 GB;DDR4;Radeon 530;SSD;256 GB;-;-;955.0
Core i7;8565U;16 GB;DDR4;GeForce MX250;SSD;512 GB;-;-;956.87
Core i7;8750H;8 GB;DDR4;GTX 1050 Ti;SSD;256 GB;HDD;1000 GB;956.87
Core i7;8550U;8 GB;DDR4;Radeon 530;SSD;256 GB;-;-;956.99
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;961.0
Core i5;8265U;12 GB;DDR4;UHD Graphics 620;SSD;256 GB;HDD;1000 GB;962.0
Core i7;7660U;8 GB;-;Iris Plus Graphics 640;SSD;256 GB;-;-;969.0
Core i7;9750H;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;969.0
Core i5;8265U;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;969.0
Core i7;10510U;8 GB;DDR4;Radeon 535;SSD;256 GB;-;-;969.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;969.0
Core i7;9750H;8 GB;-;GeForce GTX 1650;SSD;512 GB;-;-;969.99
Core i5;6200U;8 GB;DDR4;HD Graphics 520;SSD;256 GB;-;-;971.0
Core i7;1065G7;8 GB;DDR4;GeForce MX230;SSD;512 GB;-;-;971.95
Core i7;8550U;8 GB;DDR4;Radeon 530;SSD;256 GB;-;-;972.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;972.99
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;974.0
Core i5;10210U;8 GB;DDR4;UHD Graphics;SSD;256 GB;-;-;976.98
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;977.02
Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;512 GB;-;-;977.47
Core i7;8565U;16 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;978.0
Core i7;8550U;16 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;979.0
Core i5;10210U;8 GB;DDR4;GeForce MX230;SSD;128 GB;HDD;1000 GB;979.0
Core i5;8300H;8 GB;DDR4;GeForce GTX 1060;SSD;128 GB;HDD;1000 GB;983.0
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;SSD;256 GB;986.9
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;987.0
Core i7;7660U;8 GB;-;Iris Plus Graphics 640;SSD;256 GB;-;-;989.0
Core i5;8250U;8 GB;DDR3;UHD Graphics 620;SSD;128 GB;-;-;989.0
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;989.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;989.0
Core i5;8265U;8 GB;DDR3;UHD Graphics 620;SSD;256 GB;-;-;989.99
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;990.0
Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;990.0
Core i7;8750H;16 GB;DDR4;GeForce GTX 1050 Ti;SSD;256 GB;-;-;994.0
Core i7;8565U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;994.0
Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;995.0
Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;128 GB;HDD;1000 GB;997.0
Core i7;8750H;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;997.01
Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;512 GB;-;-;997.01
Core i7;8550U;8 GB;DDR4;GeForce 940MX;SSD;256 GB;-;-;997.01
Core i7;8565U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;997.7
Core i5;8265U;8 GB;DDR4;Radeon RX550;SSD;256 GB;HDD;1000 GB;998.88
Core i7;9750H;16 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;999.0
Core i7;8565U;8 GB;DDR4;Radeon 520;SSD;128 GB;HDD;1000 GB;999.0
Core i5;8250U;8 GB;DDR4;GeForce MX150;SSD;256 GB;-;-;999.0
Core i5;8250U;8 GB;DDR3;HD Graphics 620;SSD;256 GB;-;-;999.0
Core i5;9300H;8 GB;DDR4;GeForce GTX 1650;SSD;128 GB;HDD;1000 GB;999.0
Core i7;9750H;8 GB;DDR4;GeForce GTX 1650;SSD;256 GB;-;-;999.0
Core i5;7200U;8 GB;DDR4;GeForce 940MX;SSD;256 GB;-;-;999.0
Core i5;10210U;8 GB;DDR4;UHD Graphics;SSD;256 GB;-;-;999.0
Core i7;1065G7;16 GB;DDR4;GeForce MX230;SSD;512 GB;-;-;999.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;999.0
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;999.0
Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;999.0
Core i5;8250U;8 GB;DDR4;GeForce 930MX;SSD;256 GB;-;-;999.0
Core i5;9300H;8 GB;DDR4;GeForce GTX 1650;SSD;512 GB;-;-;999.0
Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;999.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;999.0
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;999.0
Core i5;8265U;8 GB;-;UHD Graphics 620;SSD;512 GB;-;-;999.0
Core i7;9750H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;999.01
Core i7;8565U;16 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;999.01
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;999.01
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;999.77
Core i5;8265U;8 GB;-;UHD Graphics 620;SSD;512 GB;-;-;999.9
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;256 GB;1000.0
Core i5;8365U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1001.0
Core i5;8365U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1005.0
Core i7;8565U;8 GB;DDR4;GeForce MX250;SSD;256 GB;HDD;1000 GB;1008.37
Core i7;8750H;16 GB;DDR4;GeForce GTX 1050 Ti;SSD;512 GB;-;-;1009.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1010.0
Core i5;8250U;8 GB;DDR4;Radeon 530;SSD;128 GB;HDD;1000 GB;1011.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1018.9
Core i5;8300H;8 GB;DDR4;GeForce GTX 1060;SSD;256 GB;-;-;1019.0
Core i7;8565U;12 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1019.0
Core i5;8250U;8 GB;DDR4;Radeon RX 550;SSD;256 GB;-;-;1019.0
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1020.0
Core i5;8265U;8 GB;DDR4;GeForce MX130;SSD;128 GB;HDD;1000 GB;1024.0
Core i5;8265U;8 GB;DDR4;Radeon RX 550;SSD;256 GB;HDD;1000 GB;1024.76
Core i5;8250U;8 GB;DDR4;Radeon 530;SSD;256 GB;-;-;1025.0
Core i5;10210U;8 GB;DDR4;UHD Graphics;SSD;512 GB;-;-;1025.0
Core i5;8250U;8 GB;DDR4;Radeon RX 550;SSD;256 GB;HDD;1000 GB;1025.99
Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1027.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;1000 GB;-;-;1027.9
Core i7;9750H;8 GB;DDR4;GeForce GTX 1650;SSD;512 GB;-;-;1029.0
Core i5;8300H;8 GB;DDR4;GeForce GTX 1060;SSD;128 GB;HDD;1000 GB;1029.0
Core i5;8265U;8 GB;DDR3;UHD Graphics 620;SSD;256 GB;-;-;1029.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1029.99
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1035.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1036.0
Core i7;8550U;8 GB;DDR4;GeForce 930MX;SSD;256 GB;-;-;1039.0
Core i7;8750H;8 GB;DDR4;GTX 1050 Ti;SSD;256 GB;-;-;1039.0
Core i7;8565U;16 GB;DDR4;GeForce MX250;SSD;128 GB;HDD;1000 GB;1044.0
Core i5;8265U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;1048.0
Core i5;9300H;16 GB;DDR4;GeForce GTX 1650;SSD;512 GB;-;-;1049.0
Core i7;9750H;8 GB;DDR4;GeForce GTX 1650;SSD;128 GB;HDD;1000 GB;1049.0
Core i5;10210U;8 GB;DDR4;UHD Graphics;SSD;256 GB;-;-;1049.0
Core i5;9300H;8 GB;DDR4;GeForce GTX 1650;SSD;256 GB;-;-;1049.0
Core i5;8300H;16 GB;DDR4;GeForce GTX 1050 Ti;SSD;256 GB;-;-;1049.0
Core i5;8265U;8 GB;DDR3;UHD Graphics 620;SSD;256 GB;-;-;1049.0
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1049.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;1049.0
Core i5;8265U;8 GB;DDR3;UHD Graphics 620;SSD;256 GB;-;-;1049.01
Core i7;8750H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;1049.99
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;1051.69
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1052.0
Core i7;8565U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;1052.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1052.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1052.99
Core i7;8565U;16 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;1057.99
Core i7;10510U;8 GB;DDR4;GeForce MX250;SSD;512 GB;-;-;1058.0
Core i7;10510U;8 GB;DDR4;GeForce MX250;SSD;512 GB;-;-;1058.0
Core i5;8250U;8 GB;DDR3;UHD Graphics 620;SSD;128 GB;-;-;1059.0
Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;1059.0
Core i5;9300H;8 GB;DDR4;GeForce GTX 1650;SSD;512 GB;-;-;1059.99
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1060.15
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1062.7
Core i5;8265U;8 GB;DDR3;UHD Graphics 620;SSD;512 GB;-;-;1063.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1063.99
Core i7;1065G7;16 GB;DDR4;GeForce MX230;SSD;512 GB;-;-;1068.0
Core i7;9750H;8 GB;DDR4;GeForce GTX 1650;SSD;512 GB;-;-;1069.0
Core i5;10210U;8 GB;DDR4;GeForce MX 230;SSD;512 GB;-;-;1069.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 630;SSD;256 GB;-;-;1069.0
Core i5;8300H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;128 GB;HDD;1000 GB;1071.0
Core i5;9400H;8 GB;DDR4;UHD Graphics 630;SSD;256 GB;-;-;1074.0
Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;16 GB;HDD;1000 GB;1074.99
Core i7;8565U;8 GB;DDR4;Radeon RX 550;SSD;256 GB;-;-;1075.99
Core i7;10510U;8 GB;DDR4;GeForce MX250;SSD;512 GB;-;-;1076.0
Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1077.0
Core i7;8750H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;128 GB;HDD;1000 GB;1079.0
Core i7;8565U;8 GB;DDR4;GeForce MX250;SSD;256 GB;HDD;2000 GB;1079.0
Core i7;8750H;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;1079.0
Core i5;9300H;8 GB;DDR4;GeForce GTX 1650;SSD;256 GB;HDD;1000 GB;1079.23
Core i7;8565U;8 GB;DDR4;Radeon RX 550X;SSD;256 GB;SSD;256 GB;1079.99
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1080.0
Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1081.28
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1085.0
Core i7;8750H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;128 GB;HDD;1000 GB;1089.0
Core i7;8565U;8 GB;DDR3;UHD Graphics 620;SSD;256 GB;-;-;1089.0
Core i5;8300H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;256 GB;-;-;1089.0
Core i7;10510U;8 GB;DDR4;GeForce MX250;SSD;256 GB;-;-;1089.0
Core i7;8565U;16 GB;DDR4;GeForce MX130;SSD;256 GB;HDD;1000 GB;1093.0
Core i7;8750H;8 GB;DDR4;GeForce GTX 1050;SSD;16 GB;HDD;1000 GB;1093.0
Core i7;8550U;8 GB;DDR4;Radeon 530;SSD;256 GB;-;-;1096.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1096.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1096.0
Core i7;9750H;8 GB;DDR4;GeForce GTX 1650;SSD;512 GB;-;-;1097.0
Core i7;8750H;8 GB;DDR4;GeForce GTX 1060;SSD;512 GB;-;-;1097.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1098.0
Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;512 GB;-;-;1099.0
Core i7;8750H;12 GB;DDR4;GeForce GTX 1050 Ti;SSD;128 GB;HDD;1000 GB;1099.0
Core i7;10510U;8 GB;DDR4;UHD Graphics;SSD;256 GB;-;-;1099.0
Core i7;8750H;16 GB;DDR4;GeForce GTX 1050;SSD;512 GB;-;-;1099.0
Core i7;9750H;16 GB;DDR4;GeForce GTX 1650;SSD;1000 GB;-;-;1099.0
Core i5;8400H;8 GB;DDR4;UHD Graphics 630;SSD;256 GB;-;-;1099.0
Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1099.0
Core i5;8365U;16 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;1099.0
Core i7;8565U;16 GB;DDR4;UHD Graphics 620;SSD;128 GB;HDD;1000 GB;1099.0
Core i5;8265U;8 GB;DDR3;UHD Graphics 620;SSD;256 GB;-;-;1099.0
Core i5;8265U;16 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;1099.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1099.0
Core i7;8750H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;256 GB;-;-;1099.0
Core i5;10210U;8 GB;DDR4;UHD Graphics;SSD;512 GB;-;-;1099.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;1099.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;SSD;256 GB;1099.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1099.0
Core i5;9750H;8 GB;DDR4;GeForce GTX 1650;SSD;256 GB;-;-;1099.9
Core i7;8750H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;1099.99
Core i5;7200U;8 GB;DDR4;HD Graphics 620;SSD;256 GB;-;-;1105.0
Core i5;8250U;8 GB;DDR4;Radeon RX 550;SSD;256 GB;HDD;1000 GB;1105.0
Core i5;8250U;8 GB;DDR4;GeForce 930MX;SSD;128 GB;HDD;1000 GB;1110.0
Core i7;8550U;16 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;1111.37
Core i5;8265U;8 GB;DDR3;UHD Graphics 620;SSD;256 GB;-;-;1111.9
Core i5;-;8 GB;DDR3;UHD Graphics 617;SSD;128 GB;-;-;1113.0
Core i7;8565U;16 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;1115.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1115.0
Core i7;8565U;16 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;1116.0
Core i5;8265U;8 GB;DDR3;UHD Graphics 620;SSD;256 GB;-;-;1116.0
Core i7;8565U;16 GB;DDR4;GeForce MX130;SSD;512 GB;-;-;1117.0
Core i7;9750H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;256 GB;-;-;1118.0
Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;512 GB;-;-;1119.0
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;1119.0
Core i5;8365U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1119.0
Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1119.8
Core i5;8365U;16 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;1123.0
Core i7;8565U;16 GB;DDR4;GeForce MX130;SSD;512 GB;-;-;1127.7
Core i7;8565U;8 GB;DDR3;GeForce MX150;SSD;512 GB;-;-;1129.0
Core i5;8350U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1129.0
Core i5;8350U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1129.0
Core i7;9750H;8 GB;DDR4;GeForce GTX 1650;SSD;512 GB;-;-;1129.99
Core i5;7200U;8 GB;DDR4;Intel HD 620;SSD;256 GB;-;-;1130.0
Core i5;-;8 GB;DDR3;UHD Graphics 617;SSD;128 GB;-;-;1135.0
Core i7;9750H;8 GB;DDR4;GeForce GTX 1650;SSD;256 GB;HDD;1000 GB;1137.0
Core i7;9750H;8 GB;DDR4;GeForce GTX 1650;SSD;256 GB;HDD;1000 GB;1137.0
Core i5;10510U;8 GB;DDR4;GeForce MX230;SSD;512 GB;-;-;1137.0
Core i7;8750H;16 GB;DDR4;GeForce GTX 1050 Ti;SSD;256 GB;HDD;1000 GB;1138.0
Core i7;9750H;8 GB;DDR4;GeForce GTX 1650;SSD;512 GB;-;-;1138.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1138.0
Core i7;8750H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;128 GB;HDD;1000 GB;1139.0
Core i5;9300H;8 GB;DDR4;UHD Graphics 630;SSD;256 GB;-;-;1142.0
Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1145.0
Core i5;8250U;8 GB;DDR4;HD Graphics 620;SSD;256 GB;-;-;1146.0
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1147.0
Core i7;8750H;16 GB;DDR4;GeForce GTX 1650;SSD;512 GB;-;-;1148.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1148.5
Core i7;9750H;8 GB;DDR4;GeForce GTX 1650;SSD;128 GB;-;-;1149.0
Core i7;8565U;8 GB;DDR4;GeForce MX250;SSD;256 GB;-;-;1149.0
Core i7;8750H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;128 GB;HDD;1000 GB;1149.0
Core i7;8750H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;128 GB;HDD;1000 GB;1149.0
Core i7;8750H;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;1149.0
Core i7;8750H;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;1149.0
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1149.0
Core i7;8565U;16 GB;-;GeForce MX250;SSD;1000 GB;-;-;1149.99
Core i5;8265U;8 GB;DDR3;UHD Graphics 620;SSD;512 GB;-;-;1149.99
Core i5;8250U;8 GB;DDR4;GeForce 940MX;SSD;256 GB;-;-;1150.49
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1156.5
Core i7;8565U;12 GB;DDR4;GeForce GTX 1050;SSD;512 GB;-;-;1156.99
Core i5;8250U;8 GB;DDR4;HD Graphics 620;SSD;256 GB;-;-;1158.0
Core i7;10510U;8 GB;DDR4;GeForce MX250;SSD;256 GB;-;-;1158.0
Core i7;8550U;8 GB;DDR4;Radeon RX 550;SSD;256 GB;-;-;1159.0
Core i7;8565U;8 GB;DDR4;GeForce MX130;SSD;128 GB;HDD;1000 GB;1165.0
Core i7;10510U;16 GB;DDR4;GeForce MX250;SSD;512 GB;-;-;1167.0
Core i5;8250U;8 GB;DDR3;UHD Graphics 620;SSD;128 GB;-;-;1169.0
Core i7;8565U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;1169.0
Core i7;8750H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;HDD;1000 GB;1169.0
Core i7;8565U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;1170.0
Core i5;8300H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;128 GB;HDD;1000 GB;1170.0
Core i7;9750H;16 GB;DDR4;GeForce GTX 1050;SSD;512 GB;-;-;1173.0
Core i5;8250U;8 GB;DDR4;Radeon 530;SSD;256 GB;-;-;1174.5
Core i5;7360U;8 GB;DDR3;Iris Plus Graphics 640;SSD;128 GB;-;-;1179.0
Core i7;8550U;8 GB;DDR3;UHD Graphics 620;SSD;256 GB;-;-;1179.0
Core i7;7700HQ;16 GB;DDR4;GeForce GTX 1060;SSD;128 GB;HDD;1000 GB;1179.0
Core i7;8550U;16 GB;DDR4;GeForce 930MX;SSD;512 GB;-;-;1179.0
Core i5;9300H;8 GB;DDR4;GeForce GTX 1650;SSD;256 GB;-;-;1179.0
Core i5;9300H;8 GB;DDR4;GeForce GTX 1650;SSD;512 GB;-;-;1179.99
Core i7;9750H;8 GB;DDR4;GeForce GTX 1650;SSD;1000 GB;-;-;1179.99
Core i7;8565U;16 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;1180.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;1187.0
Core i7;8550U;16 GB;DDR4;GeForce MX150;SSD;512 GB;-;-;1189.0
Core i5;8365U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1190.0
Core i7;9750H;16 GB;DDR4;GeForce GTX 1650;SSD;256 GB;HDD;1000 GB;1198.0
Core i7;8750H;16 GB;DDR4;GeForce GTX 1050 Ti;SSD;256 GB;HDD;1000 GB;1199.0
Core i7;9750H;16 GB;DDR4;GeForce GTX 1650;SSD;128 GB;HDD;1000 GB;1199.0
Core i7;8565U;8 GB;DDR4;GeForce MX250;SSD;512 GB;-;-;1199.0
Core i7;9750H;16 GB;DDR4;GeForce GTX 1650;SSD;1000 GB;-;-;1199.0
Core i7;9750H;8 GB;DDR4;GeForce GTX 1650;SSD;256 GB;-;-;1199.0
Core i5;8265U;12 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1199.0
Core i5;9300H;8 GB;DDR4;GeForce GTX 1650;SSD;256 GB;HDD;1000 GB;1199.0
Core i5;8300H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;256 GB;-;-;1199.0
Core i7;8565U;8 GB;DDR3;UHD Graphics 620;SSD;512 GB;-;-;1199.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;1199.0
Core i7;9750H;8 GB;DDR4;GeForce GTX 1660 Ti;SSD;512 GB;-;-;1199.9
Core i7;8750H;8 GB;DDR4;GeForce GTX 1060;SSD;256 GB;-;-;1199.9
Core i5;8300H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;16 GB;HDD;1000 GB;1199.99
Core i7;8550U;8 GB;DDR4;Radeon RX 550;SSD;256 GB;-;-;1200.0
Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;1204.99
Core i5;10210U;8 GB;DDR3;UHD Graphics 620;SSD;512 GB;-;-;1213.0
Core i5;9300H;8 GB;DDR4;UHD Graphics 630;SSD;256 GB;-;-;1218.0
Core i7;9750H;16 GB;DDR4;GeForce GTX 1650;SSD;256 GB;HDD;1000 GB;1218.99
