CPU Name,Price(USD),CPU Mark,CPU Value,Thread Mark,Thread Value,TDP (W),Power Perf.,Socket,Category
Intel Core i3-2120 @ 3.30GHz,70.0,3931,56.17,1691,24.16,65,60,LGA1155,Desktop
Intel Core i3-2120T @ 2.60GHz,24.9,3155,126.28,1307,52.32,35,90,LGA1155,Desktop
Intel Core i3-2130 @ 3.40GHz,62.9,4073,64.68,1755,27.88,65,62,LGA1155,Desktop
Intel Core i3-2310M @ 2.10GHz,38.8,2432,62.68,1007,25.97,35,69,BGA1023,Laptop
Intel Core i3-2328M @ 2.20GHz,92.97,2543,27.36,1063,11.44,35,72,PGA988,Laptop
Intel Core i3-2330M @ 2.20GHz,49.9,2526,50.58,1058,21.18,35,72,BGA1023,Laptop
Intel Core i3-2350M @ 2.30GHz,31.8,2631,82.53,1097,34.43,35,75,PGA988B,Laptop
Intel Core i3-2370M @ 2.40GHz,39.81,2778,69.79,1163,29.22,35,79,PGA988B,Laptop
Intel Core i3-3110M @ 2.40GHz,79.95,3081,38.55,1231,15.4,35,88,BGA1023,Laptop
Intel Core i3-3120M @ 2.50GHz,110.0,3225,29.32,1285,11.68,35,92,PGA988,Laptop
Intel Core i3-3220 @ 3.30GHz,54.9,4246,77.22,1756,31.95,55,77,LGA1155,Desktop
Intel Core i3-3220T @ 2.80GHz,125.0,3697,29.58,1488,11.91,35,105,LGA1155,Desktop
Intel Core i3-3240 @ 3.40GHz,50.0,4318,86.37,1804,36.09,55,78,LGA1155,Desktop
Intel Core i3-3245 @ 3.40GHz,172.01,4463,25.95,1831,10.65,55,81,LGA1155,Desktop
Intel Core i3-3250 @ 3.50GHz,70.0,4460,63.73,1852,26.47,55,81,LGA1155,Desktop
Intel Core i3-350M @ 2.27GHz,16.7,1891,112.95,820,49.0,35,54,BGA1288,Laptop
Intel Core i3-370M @ 2.40GHz,39.96,2014,50.42,917,22.97,35,57,PGA988A,Laptop
Intel Core i3-380M @ 2.53GHz,59.9,2093,34.92,970,16.19,35,59,PGA988A,Laptop
Intel Core i3-390M @ 2.67GHz,38.95,2172,55.78,1005,25.82,35,62,BGA1288,Laptop
Intel Core i3-4130 @ 3.40GHz,89.9,4804,53.39,1959,21.78,54,88,LGA1150,Desktop
Intel Core i3-4130T @ 2.90GHz,88.99,4150,46.64,1668,18.75,35,118,LGA1150,Desktop
Intel Core i3-4150 @ 3.50GHz,99.0,4900,49.5,2008,20.29,54,90,FCLGA1150,Desktop
Intel Core i3-4160 @ 3.60GHz,89.9,5048,56.1,2070,23.01,54,93,FCLGA1150,Desktop
Intel Core i3-4160T @ 3.10GHz,149.99,4451,29.68,1801,12.01,35,127,LGA1150,Desktop
Intel Core i3-4330 @ 3.50GHz,109.0,5086,46.67,2027,18.6,54,94,LGA1150,Desktop
Intel Core i3-4340 @ 3.60GHz,169.99,5242,30.84,2086,12.27,54,97,LGA1150,Desktop
Intel Core i3-4350 @ 3.60GHz,169.99,4990,29.36,2096,12.34,54,92,LGA1150,Desktop
Intel Core i3-4370T @ 3.30GHz,138.0,4870,35.29,1942,14.08,35,139,FCLGA1150,Desktop
Intel Core i3-6098P @ 3.60GHz,133.74,5387,40.28,2077,15.53,54,99,LGA 1151,Desktop
Intel Core i3-6100 @ 3.70GHz,114.9,5483,47.69,2105,18.31,51,107,LGA 1151,Desktop
Intel Core i3-6100T @ 3.20GHz,134.99,4852,35.95,1820,13.48,35,138,LGA 1151,Desktop
Intel Core i3-6300 @ 3.80GHz,158.99,5844,36.76,2164,13.61,51,114,LGA 1151,Desktop
Intel Core i3-6300T @ 3.30GHz,154.99,5247,33.86,1902,12.27,35,149,LGA 1151,Desktop
Intel Core i3-7100 @ 3.90GHz,122.8,5780,47.06,2227,18.13,51,113,FCLGA1151,Desktop
Intel Core i3-7100T @ 3.40GHz,145.7,5049,34.65,1917,13.16,35,144,FCLGA1151,Desktop
Intel Core i3-7101TE @ 3.40GHz,117.0,5189,44.36,1962,16.78,35,148,FCLGA1151,Desktop
Intel Core i3-7300 @ 4.00GHz,171.84,6328,36.83,2305,13.41,51,124,FCLGA1151,Desktop
Intel Core i3-7300T @ 3.50GHz,181.59,5369,29.57,1928,10.62,35,153,FCLGA1151,Desktop
Intel Core i3-7320 @ 4.10GHz,182.72,6417,35.12,2345,12.84,51,125,FCLGA1151,Desktop
Intel Core i3-7350K @ 4.20GHz,195.9,6597,33.67,2427,12.39,60,109,FCLGA1151,Desktop
Intel Core i3-8100 @ 3.60GHz,139.7,8010,57.31,2097,15.01,65,123,FCLGA1151-2,Desktop
Intel Core i3-8100B @ 3.60GHz,133.0,8544,64.24,2173,16.34,65,131,FCBGA1440,Laptop
Intel Core i3-8100T @ 3.10GHz,129.0,7314,56.7,1825,14.15,35,208,FCLGA1151-2,Desktop
Intel Core i3-8300 @ 3.70GHz,184.7,8693,47.07,2168,11.74,62,140,FCLGA1151-2,Desktop
Intel Core i3-8300T @ 3.20GHz,170.49,8032,47.11,1888,11.07,25,321,FCLGA1151-2,Desktop
Intel Core i3-8350K @ 4.00GHz,184.99,9245,49.98,2337,12.64,91,101,FCLGA1151-2,Desktop
Intel Core i3-9100 @ 3.60GHz,142.5,9042,63.45,2415,16.95,65,139,FCLGA1151-2,Desktop
Intel Core i3-9100F @ 3.60GHz,96.7,8900,92.02,2407,24.89,65,136,FCLGA1151-2,Desktop
Intel Core i3-9100T @ 3.10GHz,122.0,7673,62.9,2154,17.66,35,219,FCLGA1151-2,Desktop
Intel Core i3-9300 @ 3.70GHz,152.0,10018,65.91,2529,16.64,62,161,FCLGA1151-2,Desktop
Intel Core i3-9300T @ 3.20GHz,143.0,8777,61.38,2234,15.62,35,250,FCLGA1151-2,Desktop
Intel Core i3-9320 @ 3.70GHz,162.0,10144,62.62,2552,15.76,62,163,FCLGA1151-2,Desktop
Intel Core i3-9350KF @ 4.00GHz,188.9,10512,55.62,2629,13.91,91,115,FCLGA1151-2,Desktop
Intel Core i5-10210U @ 1.60GHz,297.0,9105,30.66,2351,7.92,15,607,FCBGA1528,Laptop
Intel Core i5-1035G1 @ 1.00GHz,297.0,8991,30.28,2431,8.19,15,599,FCBGA1526,Laptop
Intel Core i5-1035G4 @ 1.10GHz,309.0,9753,31.56,2162,7.0,15,650,FCBGA1526,Laptop
